season,league,player_id,age,team_id,games,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,field_goal_pct,three_point_pct,free_throw_pct,win_shares,win_shares_per_48
1976,nba,abdulka01,28,lal,82,41.2,27.7,16.9,5.0,1.5,4.1,0.529,,0.703,17.0,0.242
1975,nba,mcadobo01,23,buf,82,43.2,34.5,14.1,2.2,1.1,2.1,0.512,,0.805,17.8,0.242
1974,nba,abdulka01,26,mil,81,43.8,27.0,14.5,4.8,1.4,3.5,0.539,,0.702,18.4,0.25
1973,nba,cowenda01,24,bos,82,41.8,20.5,16.2,4.1,,,0.452,,0.779,12.0,0.168
1972,nba,abdulka01,24,mil,81,44.2,34.8,16.6,4.6,,,0.574,,0.689,25.4,0.34
1971,nba,abdulka01,23,mil,82,40.1,31.7,16.0,3.3,,,0.577,,0.69,22.3,0.326
1970,nba,reedwi01,27,nyk,81,38.1,21.7,13.9,2.0,,,0.507,,0.756,14.6,0.227
1969,nba,unselwe01,22,bal,82,36.2,13.8,18.2,2.6,,,0.476,,0.605,10.8,0.175
1968,nba,chambwi01,31,phi,82,46.8,24.3,23.8,8.6,,,0.595,,0.38,20.4,0.255
1967,nba,chambwi01,30,phi,81,45.5,24.1,24.2,7.8,,,0.683,,0.441,21.9,0.285
1966,nba,chambwi01,29,phi,79,47.3,33.5,24.6,5.2,,,0.54,,0.513,21.4,0.275
1965,nba,russebi01,30,bos,78,44.4,14.1,24.1,5.3,,,0.438,,0.573,16.9,0.233
1964,nba,roberos01,25,cin,79,45.1,31.4,9.9,11.0,,,0.483,,0.853,20.6,0.278
1963,nba,russebi01,28,bos,78,44.9,16.8,23.6,4.5,,,0.432,,0.555,13.5,0.185
1962,nba,russebi01,27,bos,76,45.2,18.9,23.6,4.5,,,0.457,,0.595,15.5,0.217
1961,nba,russebi01,26,bos,78,44.3,16.9,23.9,3.4,,,0.426,,0.55,13.0,0.181
1960,nba,chambwi01,23,phw,72,46.4,37.6,27.0,2.3,,,0.461,,0.582,17.0,0.245
1959,nba,pettibo01,26,stl,72,39.9,29.2,16.4,3.1,,,0.438,,0.759,14.8,0.246
1958,nba,russebi01,23,bos,69,38.3,16.6,22.7,2.9,,,0.442,,0.519,11.3,0.206
1957,nba,cousybo01,28,bos,64,36.9,20.6,4.8,7.5,,,0.378,,0.821,8.8,0.178
1956,nba,pettibo01,23,stl,72,38.8,25.7,16.2,2.6,,,0.429,,0.736,13.8,0.236
