season,player_id,team_id,pos1,pos2
2017,thompkl01,GSW,SG,
2017,varejan01,GSW,C,
2017,weberbr01,GSW,PG,
2017,westda01,GSW,C,
2016,cunnija01,CLE,SG,
2016,dellama01,CLE,PG,
2016,fryech01,CLE,C,
2016,harrijo01,CLE,SG,
2016,irvinky01,CLE,PG,
2016,jamesle01,CLE,SF,
2016,jefferi01,CLE,SF,
2016,jonesda02,CLE,SF,
2016,jonesja02,CLE,SF,
2016,kaunsa01,CLE,C,
2016,loveke01,CLE,PF,
2016,mcraejo01,CLE,PG,
2016,mozgoti01,CLE,C,
2016,shumpim01,CLE,SG,
2016,smithjr01,CLE,SG,
2016,thomptr01,CLE,PF,
2016,varejan01,CLE,C,
2016,willima01,CLE,PG,
2015,barbole01,GSW,SG,
2015,barneha02,GSW,SF,
2015,bogutan01,GSW,C,
2015,curryst01,GSW,PG,
2015,ezelife01,GSW,C,
2015,greendr01,GSW,PF,
2015,holidju01,GSW,SG,
2015,iguodan01,GSW,SF,
2015,kuzmiog01,GSW,C,
2015,leeda02,GSW,PF,
2015,livinsh01,GSW,PG,
2015,mcadoja01,GSW,PF,
2015,rushbr01,GSW,SG,
2015,speigma01,GSW,C,
2015,thompkl01,GSW,SG,
2014,pendeje02,SAS,PF,
2014,baynear01,SAS,C,
2014,belinma01,SAS,SF,
2014,bonnema01,SAS,PF,
2014,brownsh01,SAS,SG,
2014,dayeau01,SAS,SF,
2014,decolna01,SAS,SF,
2014,diawbo01,SAS,PF,
2014,duncati01,SAS,C,
2014,ginobma01,SAS,SG,
2014,greenda02,SAS,SG,
2014,jamesda01,SAS,SF,
2014,jeffeot01,SAS,SG,
2014,josepco01,SAS,SG,
2014,leonaka01,SAS,SF,
2014,millspa02,SAS,PG,
2014,parketo01,SAS,PG,
2014,splitti01,SAS,C,
2014,thomama01,SAS,PF,
2013,allenra02,MIA,SG,
2013,anderch01,MIA,C,
2013,anthojo01,MIA,C,
2013,battish01,MIA,SF,
2013,boshch01,MIA,C,
2013,chalmma01,MIA,PG,
2013,coleno01,MIA,PG,
2013,harrejo01,MIA,C,
2013,harrite01,MIA,SG,
2013,hasleud01,MIA,PF,
2013,howarju01,MIA,PF,
2013,jamesle01,MIA,PF,
2013,jonesja02,MIA,SF,
2013,lewisra02,MIA,PF,
2013,millemi01,MIA,SF,
2013,pittmde01,MIA,C,
2013,varnaja01,MIA,PF,
2013,wadedw01,MIA,SG,
2012,anthojo01,MIA,C,
2012,battish01,MIA,SF,
2012,boshch01,MIA,PF,
2012,chalmma01,MIA,PG,
2012,coleno01,MIA,PG,
2012,curryed01,MIA,C,
2012,gladnmi01,MIA,PF,
2012,harrite01,MIA,SG,
2012,hasleud01,MIA,PF,
2012,howarju01,MIA,PF,
2012,jamesle01,MIA,SF,
2012,jonesja02,MIA,SG,
2012,millemi01,MIA,SG,
2012,pittmde01,MIA,C,
2012,turiaro01,MIA,C,
2012,wadedw01,MIA,SG,
2011,ajincal01,DAL,C,
2011,bareajo01,DAL,PG,
2011,beaubro01,DAL,PG,
2011,breweco01,DAL,SG,
2011,butleca01,DAL,SF,
2011,cardibr01,DAL,SF,
2011,chandty01,DAL,C,
2011,haywobr01,DAL,C,
2011,jonesdo02,DAL,SG,
2011,kiddja01,DAL,PG,
2011,mahinia01,DAL,C,
2011,mariosh01,DAL,SF,
2011,novakst01,DAL,SF,
2011,nowitdi01,DAL,PF,
2011,pavloal01,DAL,SF,
2011,stevede01,DAL,SG,
2011,stojape01,DAL,SF,
2011,terryja01,DAL,SG,
2010,brownsh01,LAL,SG,
2010,bryanko01,LAL,SG,
2010,bynuman01,LAL,C,
2010,farmajo01,LAL,PG,
2010,fishede01,LAL,PG,
2010,gasolpa01,LAL,C,
2010,mbengdj01,LAL,C,
2010,morriad01,LAL,SF,
2010,odomla01,LAL,PF,
2010,poweljo01,LAL,PF,
2010,vujacsa01,LAL,SG,
2010,waltolu01,LAL,SF,
2010,artesro01,LAL,SF,
2009,arizatr01,LAL,SF,
2009,brownsh01,LAL,SG,
2009,bryanko01,LAL,SG,
2009,bynuman01,LAL,C,
2009,farmajo01,LAL,PG,
2009,fishede01,LAL,PG,
2009,gasolpa01,LAL,C,
2009,mbengdj01,LAL,C,
2009,mihmch01,LAL,C,
2009,morriad01,LAL,SF,
2009,odomla01,LAL,PF,
2009,poweljo01,LAL,PF,
2009,radmavl01,LAL,SF,
2009,vujacsa01,LAL,SG,
2009,waltolu01,LAL,SF,
2009,yuesu01,LAL,SG,
2008,allenra02,BOS,SG,
2008,allento01,BOS,SG,
2008,brownpj01,BOS,PF,
2008,cassesa01,BOS,PG,
2008,davisgl01,BOS,C,
2008,garneke01,BOS,PF,
2008,houseed01,BOS,PG,
2008,perkike01,BOS,C,
2008,piercpa01,BOS,SF,
2008,pollasc01,BOS,C,
2008,poseyja01,BOS,PF,
2008,powele01,BOS,C,
2008,pruitga01,BOS,PG,
2008,rondora01,BOS,PG,
2008,scalabr01,BOS,PF,
2007,barrybr01,SAS,SG,
2007,bonnema01,SAS,PF,
2007,bowenbr01,SAS,SF,
2007,butleja01,SAS,C,
2007,duncati01,SAS,C,
2007,elsonfr01,SAS,C,
2007,elyme01,SAS,C,
2007,finlemi01,SAS,SF,
2007,ginobma01,SAS,SG,
2007,horryro01,SAS,PF,
2007,obertfa01,SAS,C,
2007,parketo01,SAS,PG,
2007,udrihbe01,SAS,PG,
2007,vaughja01,SAS,PG,
2007,whiteja02,SAS,SG,
2007,willier01,SAS,SF,
2006,anderde01,MIA,SG,
2006,andersh01,MIA,SF,
2006,barroea01,MIA,C,
2006,doleami01,MIA,C,
2006,fitchge01,MIA,PG,
2006,hasleud01,MIA,PF,
2006,kaponja01,MIA,SF,
2006,mournal01,MIA,C,
2006,onealsh01,MIA,C,
2006,paytoga01,MIA,PG,
2006,poseyja01,MIA,SF,
2006,simiewa01,MIA,PF,
2006,wadedw01,MIA,SG,
2006,walkean02,MIA,PF,
2006,walshma01,MIA,SG,
2006,willija02,MIA,PG,
2006,wrighdo01,MIA,SF,
2005,barrybr01,SAS,SG,
2005,bowenbr01,SAS,SF,
2005,brownde02,SAS,SG,
2005,duncati01,SAS,PF,
2005,ginobma01,SAS,SG,
