player_id,player_name,shoots,draft_team_name,experience,nba_debut,position_1,position_2,position_3,position_4,position_5,position_6,draft_year,height_cm,weight_kg,age,draft_round_pick_rank,draft_overall_pick_rank,career_points,career_total_rebound_pct,career_assists_pct,career_field_goal_pct,career_three_point_pct,career_free_throw_pct,career_effective_fg_pct,career_per,career_win_shares
vandeja01,jarred vanderbilt,left,orlando magic,7.0,2019,power forward,,,,,,2018,203.0,97.0,26,11,41,5.9,6.2,1.4,56.0,28.8,63.8,57.9,14.8,16.8
goodwbr01,brandon goodwin,right,nba draft,4.0,2018,point guard,,,,,,2023,183.0,82.0,30,,,,,,,,,,,
lydonty01,tyler lydon,right,utah jazz,,2017,power forward,,,,,,2017,208.0,102.0,29,24,24,,,,,,,,,
johnsbj01,b.j. johnson,left,nba draft,,2019,small forward,,,,,,2023,201.0,91.0,30,,,,,,,,,,,
fredeji01,jimmer fredette,right,milwaukee bucks,,2011,shooting guard,point guard,,,,,2011,188.0,88.0,36,10,10,,,,,,,,,
jacksde01,demetrius jackson,right,boston celtics,,2016,point guard,,,,,,2016,185.0,91.0,31,15,45,,,,,,,,,
creekmi01,mitch creek,right,nba draft,,2019,small forward,,,,,,2023,196.0,98.0,33,,,,,,,,,,,
mbahalu01,luc mbah a moute,right,milwaukee bucks,,2008,power forward,small forward,,,,,2008,203.0,104.0,39,7,37,,,,,,,,,
bongais01,isaac bonga,right,philadelphia 76ers,,2018,small forward,point guard,,,,,2018,203.0,82.0,26,9,39,,,,,,,,,
doziepj01,pj dozier,right,nba draft,7.0,2018,shooting guard,small forward,,point guard,,,2023,198.0,93.0,29,,,5.4,2.6,1.6,40.3,31.1,64.7,46.6,10.3,1.8
musadz01,då¾anan musa,right,brooklyn nets,,2018,small forward,shooting guard,,,,,2018,206.0,98.0,26,29,29,,,,,,,,,
welshth01,thomas welsh,right,denver nuggets,1.0,2018,center,,,,,,2018,213.0,116.0,29,28,58,,,,,,,,,
willial03,alan williams,right,nba draft,,2016,power forward,center,,,,,2023,203.0,120.0,32,,,,,,,,,,,
acyqu01,quincy acy,right,toronto raptors,,2012,power forward,small forward,,,,,2012,201.0,109.0,35,7,37,,,,,,,,,
bradlto01,tony bradley,right,los angeles lakers,7.0,2017,center,,,,,,2017,208.0,112.0,27,28,28,4.4,4.0,0.5,63.2,46.7,66.7,63.8,19.5,8.0
hunterj01,r.j. hunter,right,boston celtics,4.0,2015,shooting guard,,,,,,2015,196.0,84.0,32,28,28,,,,,,,,,
mitrona01,naz mitrou-long,right,nba draft,,2017,shooting guard,,,,,,2023,190.0,99.0,32,,,,,,,,,,,
frazime01,melvin frazier,left,orlando magic,3.0,2018,shooting guard,,,,,,2018,196.0,97.0,29,5,35,,,,,,,,,
humphis01,isaac humphries,right,nba draft,,2019,center,,,,,,2023,213.0,116.0,27,,,,,,,,,,,
bakerro01,ron baker,right,nba draft,,2016,shooting guard,,,,,,2023,193.0,100.0,32,,,,,,,,,,,
johnsal02,alize johnson,right,indiana pacers,5.0,2018,power forward,,,,,,2018,201.0,96.0,29,20,50,,,,,,,,,
hicksis01,isaiah hicks,right,nba draft,,2018,power forward,,,,,,2023,206.0,104.0,31,,,,,,,,,,,
reedda01,davon reed,right,phoenix suns,4.0,2018,shooting guard,,,,,,2017,196.0,94.0,30,2,32,,,,,,,,,
