season,league,champion_team_id,rookie_of_the_year,most_points,most_rebounds,most_assists,most_winshares
2005,NBA,sas,E. Okafor,A. Iverson,K. Garnett,S. Nash,K. Garnett
2006,NBA,mia,C. Paul,K. Bryant,D. Howard,S. Nash,D. Nowitzki
2007,NBA,sas,B. Roy,K. Bryant,D. Howard,S. Nash,D. Nowitzki
2008,NBA,bos,K. Durant,K. Bryant,D. Howard,C. Paul,C. Paul
2009,NBA,lal,D. Rose,D. Wade,D. Howard,C. Paul,L. James
2010,NBA,lal,T. Evans,K. Durant,D. Howard,S. Nash,L. James
2011,NBA,dal,B. Griffin,K. Durant,K. Love,S. Nash,L. James
2012,NBA,mia,K. Irving,K. Durant,D. Howard,S. Nash,L. James
2013,NBA,mia,D. Lillard,K. Durant,Ö. Aşık,G. Vásquez,L. James
2014,NBA,sas,M. Carter-Williams,K. Durant,D. Jordan,J. Wall,K. Durant
2015,NBA,gsw,A. Wiggins,J. Harden,D. Jordan,C. Paul,J. Harden
2016,NBA,cle,K. Towns,J. Harden,A. Drummond,R. Rondo,S. Curry
2017,NBA,gsw,M. Brogdon,R. Westbrook,A. Drummond,J. Harden,J. Harden
2018,NBA,gsw,B. Simmons,L. James,A. Drummond,R. Westbrook,J. Harden
2019,NBA,tor,L. Dončić,J. Harden,A. Drummond,R. Westbrook,J. Harden
2020,NBA,lal,J. Morant,J. Harden,R. Gobert,L. James,J. Harden
2021,NBA,mil,L. Ball,S. Curry,R. Gobert,R. Westbrook,N. Jokić
2022,NBA,gsw,S. Barnes,T. Young,N. Jokić,T. Young,N. Jokić
2023,NBA,den,P. Banchero,J. Tatum,D. Sabonis,T. Young,N. Jokić
2024,NBA,bos,V. Wembanyama,L. Dončić,D. Sabonis,T. Haliburton,N. Jokić
2025,NBA,okc,S. Castle,S. Gilgeous-Alexander,I. Zubac,T. Young,S. Gilgeous-Alexander
2026,NBA,nyk,C. Flagg,L. Dončić,D. Clingan,N. Jokić,S. Gilgeous-Alexander
