,player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Last Season Games,Last Season Points,Last Season Total Rebound Percentage,Last Season Assists Percentage,Last Season Field Goal Percentage,Last Season 3pt Field Goal Percentage,Last Season TFree Throw Percentage,Last Season Effective Field Goal Percentage,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage
444,kolekty01,Tyler Kolek,Point Guard,Left,6-1,195,27,March,2001,"George,Mason",41,2.0,0.7,1.7,41,2.0,0.7,1.7,1,41,2.0,0.7,1.7,32.9,29.8,76.5,41.5
445,davisjo06,Johnny Davis,Shooting Guard,Right,6-5,196,27,February,2002,Wisconsin,34,2.4,1.1,0.3,34,2.4,1.1,0.3,3,112,3.5,1.6,0.6,39.7,27.3,56.1,44.4
446,beaucma01,MarJon Beauchamp,Small Forward,Right,6-6,199,12,October,2000,"Yakima,Valley,Community,College",35,2.3,1.3,0.3,35,2.3,1.3,0.3,3,135,4.1,1.9,0.6,43.0,35.4,71.8,52.2
447,martija02,Jaylen Martin,Small Forward,Right,6-6,216,28,January,2004,Colleges,16,4.9,2.8,1.1,16,4.9,2.8,1.1,1,16,4.9,2.8,1.1,41.9,30.4,90.0,46.6
448,brownko01,Kobe Brown,Power Forward,Right,6-7,250,1,January,2000,Missouri,40,1.9,1.6,0.6,40,1.9,1.6,0.6,2,84,2.0,1.5,0.6,43.2,27.0,66.7,49.4
449,reeseal01,Alex Reese,Power Forward,Right,6-9,245,21,May,1999,Alabama,15,5.1,3.1,0.3,15,5.1,3.1,0.3,1,15,5.1,3.1,0.3,48.1,36.6,75.0,62.0
450,brownmo01,Moses Brown,Center,Right,7-2,245,13,October,1999,UCLA,13,5.8,3.4,0.2,13,5.8,3.4,0.2,6,163,5.3,4.9,0.2,57.4,-,54.4,57.4
451,stevela01,Lamar Stevens,"Power Forward , Small Forward",Right,6-6,230,9,July,1997,"Penn,State",17,4.4,2.2,0.5,17,4.4,2.2,0.5,5,220,5.6,2.9,0.6,46.3,28.7,72.6,49.8
452,lenal01,Alex Len,Center,Right,7-0,250,16,June,1993,Maryland,46,1.6,2.1,0.8,46,1.6,2.1,0.8,12,690,6.7,5.3,0.9,51.0,32.2,67.8,52.6
453,thorjt01,JT Thor,Power Forward,Left,6-10,205,26,August,2002,Auburn,20,3.6,2.4,0.3,20,3.6,2.4,0.3,4,185,3.2,2.1,0.5,41.9,31.7,65.1,49.3
454,baglema02,Marcus Bagley,Small Forward,Right,6-8,215,23,October,2001,"Arizona,State",10,6.7,7.0,1.0,10,6.7,7.0,1.0,1,10,6.7,7.0,1.0,39.1,15.6,80.0,42.8
455,nowelja01,Jaylen Nowell,Shooting Guard,Right,6-4,201,9,July,1999,Washington,8,8.4,2.5,2.3,8,8.4,2.5,2.3,6,205,8.9,2.2,1.9,44.2,31.6,79.2,50.4
456,smithty02,Tyler Smith,Power Forward,Left,6-11,224,2,November,2004,Colleges,23,2.9,1.1,0.2,23,2.9,1.1,0.2,1,23,2.9,1.1,0.2,48.0,43.3,75.0,61.0
457,flaglad01,Adam Flagler,Shooting Guard,Right,6-3,195,1,December,1999,"Presbyterian,College",37,1.8,0.7,0.3,37,1.8,0.7,0.3,2,39,1.7,0.7,0.4,25.2,19.2,50.0,32.5
458,willije02,Jeenathan Williams,Shooting Guard,Left,6-5,205,12,February,1999,Buffalo,20,3.3,0.7,0.5,20,3.3,0.7,0.5,3,47,3.9,1.1,0.6,51.7,28.2,58.3,55.3
459,jamesbr02,Bronny James,Shooting Guard,Right,6-2,210,6,October,2004,USC,27,2.3,0.7,0.8,27,2.3,0.7,0.8,1,27,2.3,0.7,0.8,31.3,28.1,78.6,38.1
460,meltode01,De'Anthony Melton,"Point Guard , Shooting Guard",Right,6-2,200,28,May,1998,USC,6,10.3,3.3,2.8,6,10.3,3.3,2.8,7,356,9.1,3.7,2.8,41.0,36.9,77.9,50.6
461,bradlto01,Tony Bradley,Center,Right,6-10,248,8,January,1998,UNC,14,4.4,3.0,0.4,14,4.4,3.0,0.4,7,193,4.4,4.0,0.5,63.2,46.7,66.7,63.8
462,fultzma01,Markelle Fultz,"Point Guard , Shooting Guard",Right,6-4,209,29,May,1998,Washington,21,2.9,1.0,1.3,21,2.9,1.0,1.3,8,255,10.4,3.2,4.4,47.0,28.0,73.2,48.8
463,swideco01,Cole Swider,Small Forward,Right,6-9,220,8,May,1999,Villanova,10,5.9,2.7,0.3,10,5.9,2.7,0.3,3,35,3.1,1.2,0.3,36.4,32.9,66.7,49.1
464,fernabr01,Bruno Fernando,Center,Right,6-9,240,15,August,1998,Maryland,17,3.4,3.0,1.1,17,3.4,3.0,1.1,6,220,4.0,3.2,0.7,54.3,12.2,65.3,54.8
465,saricda01,Dario Å ariÄ,"Power Forward , Center",Right,6-10,225,8,April,1994,Colleges,16,3.5,3.1,1.4,16,3.5,3.1,1.4,8,493,10.4,5.3,1.9,44.4,36.0,83.7,52.1
466,morrima02,Markieff Morris,Power Forward,Right,6-9,245,2,September,1989,Kansas,15,3.7,1.5,1.4,15,3.7,1.5,1.4,14,791,10.2,4.9,1.5,44.3,34.1,77.9,49.0
467,etienty01,Tyson Etienne,Point Guard,Right,6-2,203,17,September,1999,"Wichita,State",7,7.9,1.3,1.7,7,7.9,1.3,1.7,1,7,7.9,1.3,1.7,32.7,29.5,80.0,45.2
468,hayeski01,Killian Hayes,Point Guard,Left,6-5,195,27,July,2001,Colleges,6,9.0,3.0,5.2,6,9.0,3.0,5.2,5,216,8.1,2.9,5.2,38.3,28.1,77.7,43.1
469,peterdr01,Drew Peterson,Power Forward,Right,6-9,205,9,November,1999,"Rice,University",25,2.2,1.6,0.5,25,2.2,1.6,0.5,2,28,2.3,1.5,0.5,44.7,42.1,77.8,61.7
470,bufkiko01,Kobe Bufkin,Shooting Guard,Left,6-4,195,21,September,2003,Michigan,10,5.3,2.1,1.7,10,5.3,2.1,1.7,2,27,5.0,2.0,1.6,37.4,22.0,65.4,42.1
471,templga01,Garrett Temple,"Shooting Guard, Small Forward, , Point Guard",Right,6-5,195,8,May,1986,LSU,28,1.9,1.0,1.1,28,1.9,1.0,1.1,15,771,5.9,2.2,1.6,40.0,34.2,74.5,48.8
472,okekech01,Chuma Okeke,"Power Forward , Small Forward",Right,6-6,229,18,August,1998,Auburn,9,5.9,5.2,1.7,9,5.9,5.2,1.7,5,198,6.3,3.8,1.5,38.7,32.1,78.7,48.4
473,baldwpa01,Patrick Baldwin Jr.,Small Forward,Right,6-9,220,18,November,2002,UW-Milwaukee,24,2.2,1.0,0.1,24,2.2,1.0,0.1,3,93,3.7,2.0,0.5,40.5,37.3,65.8,53.2
474,brissos01,Oshae Brissett,"Small Forward , Power Forward",Right,6-7,210,20,June,1998,Syracuse,6,8.7,3.7,0.7,6,8.7,3.7,0.7,6,233,6.6,3.9,0.8,41.9,33.7,69.4,49.7
475,hukpoar01,Ariel Hukporti,Center,Left,7-0,246,11,April,2002,Colleges,25,1.9,2.0,0.4,25,1.9,2.0,0.4,1,25,1.9,2.0,0.4,67.7,-,46.2,67.7
476,freemen01,Enrique Freeman,Power Forward,Right,6-7,206,29,July,2000,"University,of,Akron",22,2.1,1.4,0.4,22,2.1,1.4,0.4,1,22,2.1,1.4,0.4,43.2,10.0,68.4,44.6
477,knoxke01,Kevin Knox,"Small Forward , Power Forward",Right,6-7,215,11,August,1999,Kentucky,14,3.3,1.2,0.4,14,3.3,1.2,0.4,7,320,7.3,2.8,0.7,39.3,34.0,72.3,47.4
478,johnske10,Keshad Johnson,Small Forward,Right,6-6,225,23,June,2001,"San,Diego,State",16,2.7,1.8,0.3,16,2.7,1.8,0.3,1,16,2.7,1.8,0.3,69.2,42.9,44.4,75.0
479,plowdda01,Daeqwon Plowden,Shooting Guard,Right,6-6,215,29,August,1998,"Bowling,Green",6,7.2,1.8,0.3,6,7.2,1.8,0.3,1,6,7.2,1.8,0.3,64.0,52.9,100.0,82.0
480,simsja01,Jaylen Sims,Shooting Guard,Right,6-6,195,11,December,1998,"UNC,Wilmington",6,7.0,1.0,2.0,6,7.0,1.0,2.0,1,6,7.0,1.0,2.0,42.9,40.0,80.0,53.6
481,nancepe01,Pete Nance,"Power Forward , Center",Right,6-11,230,19,February,2000,Northwestern,13,2.9,1.6,0.8,13,2.9,1.6,0.8,2,21,2.0,1.1,0.5,39.5,40.0,25.0,52.6
482,batesem01,Emoni Bates,Small Forward,Right,6-10,170,28,January,2004,Memphis,10,3.7,0.7,0.8,10,3.7,0.7,0.8,2,25,3.1,0.8,0.7,32.2,33.3,25.0,44.3
483,duartch01,Chris Duarte,"Small Forward , Shooting Guard",Right,6-6,190,13,June,1997,Oregon,17,2.1,1.2,0.5,17,2.1,1.2,0.5,4,177,7.6,2.6,1.3,40.6,34.9,81.3,48.9
484,ducasal01,Alex Ducas,Shooting Guard,Right,6-6,222,11,December,2000,"Saint,Mary's",21,1.7,1.2,0.2,21,1.7,1.2,0.2,1,21,1.7,1.2,0.2,40.0,47.6,100.0,56.7
485,kawamyu01,Yuki Kawamura,Point Guard,Right,5-8,159,2,May,2001,Colleges,22,1.6,0.5,0.9,22,1.6,0.5,0.9,1,22,1.6,0.5,0.9,36.7,30.4,77.8,48.3
486,tomlina01,Nae'Qwan Tomlin,Power Forward,Right,6-10,205,10,December,2000,"Monroe,Community,College",5,7.2,4.2,0.4,5,7.2,4.2,0.4,1,5,7.2,4.2,0.4,40.6,20.0,72.7,43.8
487,jacksis01,Isaiah Jackson,Center,Right,6-10,206,10,January,2002,Kentucky,5,7.0,5.6,1.0,5,7.0,5.6,1.0,4,163,7.2,4.3,0.7,59.5,20.6,67.1,59.9
488,washity02,TyTy Washington Jr.,Point Guard,Right,6-3,197,15,November,2001,Kentucky,16,2.2,0.8,1.0,16,2.2,0.8,1.0,3,58,3.3,1.1,1.2,34.7,23.4,54.2,40.2
489,tillmxa01,Xavier Tillman Sr.,"Center , Power Forward",Right,6-8,245,12,January,1999,"Michigan,State",33,1.0,1.3,0.2,33,1.0,1.3,0.2,5,260,5.3,3.8,1.2,50.9,25.2,57.7,53.6
490,kelleky01,Kylor Kelley,Center,Right,7-0,215,26,August,1997,"Oregon,State",11,3.1,3.5,0.5,11,3.1,3.5,0.5,1,11,3.1,3.5,0.5,63.6,-,60.0,63.6
491,davisjd01,JD Davison,"Shooting Guard , Point Guard",Right,6-1,195,3,October,2002,Alabama,16,2.1,0.8,0.8,16,2.1,0.8,0.8,3,36,1.9,0.9,0.9,38.5,28.1,69.2,45.4
492,hallpj01,PJ Hall,Center,Right,6-8,245,21,February,2002,Clemson,19,1.7,1.2,0.2,19,1.7,1.2,0.2,1,19,1.7,1.2,0.2,58.3,25.0,75.0,62.5
493,alexatr01,Trey Alexander,Shooting Guard,Right,6-4,185,2,May,2003,Creighton,24,1.3,0.5,0.5,24,1.3,0.5,0.5,1,24,1.3,0.5,0.5,31.7,17.6,75.0,35.4
494,harklej01,Elijah Harkless,Shooting Guard,Right,6-3,195,3,February,2000,"Cal,State,Northridge",10,3.2,2.1,0.8,10,3.2,2.1,0.8,1,10,3.2,2.1,0.8,31.4,28.0,50.0,41.4
495,richajo01,Josh Richardson,"Shooting Guard , Small Forward",Right,6-5,200,15,September,1993,Tennessee,8,4.0,1.5,1.5,8,4.0,1.5,1.5,10,554,11.5,3.0,2.6,42.8,36.3,84.6,50.9
496,cissosi01,Sidy Cissoko,Small Forward,Right,6-8,200,2,April,2004,Colleges,22,1.5,1.0,0.7,22,1.5,1.0,0.7,2,34,2.3,1.3,0.7,46.0,16.0,62.5,49.2
497,dadiepa01,Pacome Dadiet,Shooting Guard,Right,6-7,210,27,July,2005,Colleges,18,1.7,1.0,0.3,18,1.7,1.0,0.3,1,18,1.7,1.0,0.3,32.3,31.6,66.7,41.9
498,dennira01,RayJ Dennis,Point Guard,Right,6-2,180,30,March,2001,"Boise,State",11,2.7,1.1,1.3,11,2.7,1.1,1.3,1,11,2.7,1.1,1.3,33.3,28.6,100.0,42.4
499,livinch01,Chris Livingston,Small Forward,Right,6-6,220,15,October,2003,Kentucky,21,1.4,1.7,0.2,21,1.4,1.7,0.2,2,42,1.3,1.3,0.2,40.8,7.7,75.0,41.8
500,chrisjo01,Josh Christopher,Shooting Guard,Right,6-5,215,8,December,2001,"Arizona,State",14,2.0,0.6,0.6,14,2.0,0.6,0.6,3,152,6.5,1.8,1.5,45.1,27.3,73.7,49.7
501,garrema01,Marcus Garrett,Shooting Guard,Right,6-5,205,9,November,1998,Kansas,4,7.0,1.5,3.3,4,7.0,1.5,3.3,2,16,2.6,1.8,1.3,33.3,33.3,55.6,37.5
502,ryanma01,Matt Ryan,Small Forward,Right,6-6,215,17,April,1997,"Notre,Dame",19,1.5,0.4,0.2,19,1.5,0.4,0.2,4,82,3.7,0.9,0.5,38.9,40.2,89.3,54.5
503,jonessp01,Spencer Jones,Small Forward,Right,6-7,225,14,June,2001,Stanford,20,1.3,0.9,0.3,20,1.3,0.9,0.3,1,20,1.3,0.9,0.3,32.4,5.9,100.0,33.8
504,cancavl01,Vlatko ÄanÄar,Power Forward,Right,6-8,236,10,April,1997,Colleges,13,1.8,2.5,0.7,13,1.8,2.5,0.7,5,143,3.4,1.8,0.9,47.2,35.4,84.7,55.6
505,nfalyda01,N'Faly Dante,Center,Right,6-11,230,19,October,2001,Oregon,4,6.0,5.3,0.5,4,6.0,5.3,0.5,1,4,6.0,5.3,0.5,76.9,-,80.0,76.9
506,gortmja01,Jazian Gortman,Point Guard,Right,6-2,184,14,April,2003,Colleges,16,1.5,0.3,0.4,16,1.5,0.3,0.4,1,16,1.5,0.3,0.4,39.1,36.4,50.0,47.8
507,crowdja01,Jae Crowder,"Small Forward , Power Forward",Right,6-6,235,6,July,1990,Marquette,9,2.6,2.2,0.7,9,2.6,2.2,0.7,13,812,9.3,4.2,1.6,41.8,34.7,77.7,51.8
508,jonesma05,Mason Jones,Shooting Guard,Right,6-4,200,21,July,1998,"Connors,State,College",10,2.3,0.9,1.1,10,2.3,0.9,1.1,4,51,4.4,1.5,1.2,42.7,32.9,66.3,51.2
509,toppija01,Jacob Toppin,Small Forward,Right,6-9,205,8,May,2000,"Rhode,Island",17,1.4,0.9,0.4,17,1.4,0.9,0.4,2,26,1.4,0.8,0.3,45.2,42.9,100.0,54.8
510,roweja01,Jackson Rowe,Power Forward,Right,6-7,210,4,January,1997,"Cal,State,Fullerton",6,3.7,1.8,0.7,6,3.7,1.8,0.7,1,6,3.7,1.8,0.7,47.1,30.0,50.0,55.9
511,liddeej01,E.J. Liddell,Power Forward,Right,6-7,240,18,December,2000,"Ohio,State",12,1.8,0.8,0.3,12,1.8,0.8,0.3,2,20,1.3,0.7,0.2,42.9,20.0,100.0,50.0
512,millele01,Leonard Miller,Small Forward,Left,6-10,210,26,November,2003,Colleges,13,1.5,0.8,0.0,13,1.5,0.8,0.0,2,30,1.6,1.0,0.3,54.3,20.0,90.0,57.1
513,chrisca02,Cam Christie,Shooting Guard,Right,6-5,190,24,July,2005,Minnesota,13,1.4,0.9,0.5,13,1.4,0.9,0.5,1,13,1.4,0.9,0.5,29.2,15.4,50.0,33.3
514,minayju01,Justin Minaya,Small Forward,Left,6-5,210,26,March,1999,Colleges,19,0.9,0.5,0.4,19,0.9,0.5,0.4,3,57,1.7,1.4,0.6,31.4,23.9,41.7,38.6
515,bouyeja01,Jamaree Bouyea,Point Guard,Right,6-2,180,27,June,1999,"San,Francisco",5,3.4,1.0,2.0,5,3.4,1.0,2.0,3,19,2.8,1.6,1.3,40.7,20.0,62.5,44.4
516,dukeda01,David Duke Jr.,"Shooting Guard , Point Guard",Right,6-5,205,13,October,1999,Providence,6,2.7,0.8,0.7,6,2.7,0.8,0.7,4,55,4.2,2.0,0.9,41.7,26.2,76.7,45.4
517,flynnma01,Malachi Flynn,Point Guard,Right,6-1,175,10,May,1998,"San,Diego,State",4,4.0,1.8,1.8,4,4.0,1.8,1.8,5,217,5.5,1.7,1.9,38.7,33.3,74.7,47.2
518,inglejo01,Joe Ingles,"Small Forward , Power Forward",Left,6-8,220,2,October,1987,Colleges,19,0.8,0.6,1.2,19,0.8,0.6,1.2,11,723,7.9,3.0,3.6,44.7,40.9,77.4,58.3
519,klintbo01,Bobi Klintman,Small Forward,Right,6-9,225,6,March,2003,"Wake,Forest",8,1.9,0.9,0.9,8,1.9,0.9,0.9,1,8,1.9,0.9,0.9,60.0,40.0,50.0,70.0
520,umudest01,Stanley Umude,Shooting Guard,Right,6-6,210,12,April,1999,"South,Dakota",22,0.7,0.8,0.2,22,0.7,0.8,0.2,3,47,3.1,1.4,0.3,37.8,39.1,86.8,50.0
521,hendrta01,Taylor Hendricks,Power Forward,Right,6-9,210,22,November,2003,"Central,Florida",3,4.7,5.0,0.7,3,4.7,5.0,0.7,2,43,7.1,4.7,0.8,43.4,36.8,78.8,54.3
522,mcveija01,Jack McVeigh,Power Forward,Right,6-8,215,27,June,1996,Nebraska,9,1.6,0.6,0.1,9,1.6,0.6,0.1,1,9,1.6,0.6,0.1,29.4,30.8,-,41.2
523,smithto05,Tolu Smith,Power Forward,Right,6-10,254,26,July,2000,"Western,Kentucky",1,14.0,8.0,0.0,1,14.0,8.0,0.0,1,1,14.0,8.0,0.0,66.7,-,66.7,66.7
524,armeltr01,Armel TraorÃ©,Small Forward,Right,6-8,215,23,January,2003,Colleges,9,1.6,1.7,0.1,9,1.6,1.7,0.1,1,9,1.6,1.7,0.1,31.6,0.0,28.6,31.6
525,crawfis01,Isaiah Crawford,Small Forward,Right,6-6,220,1,November,2001,"Louisiana,Tech",15,0.9,0.5,0.1,15,0.9,0.5,0.1,1,15,0.9,0.5,0.1,45.5,20.0,50.0,50.0
526,mcgowbr01,Bryce McGowens,Shooting Guard,Right,6-7,179,8,November,2002,Nebraska,13,1.0,0.2,0.2,13,1.0,0.2,0.2,3,118,4.8,1.7,0.9,41.5,32.3,76.6,48.2
527,travelu01,Luke Travers,Shooting Guard,Right,6-8,199,3,September,2001,Colleges,12,1.0,1.7,0.7,12,1.0,1.7,0.7,1,12,1.0,1.7,0.7,25.0,0.0,100.0,25.0
528,flowetr01,Trentyn Flowers,Small Forward,Right,6-7,185,8,March,2005,Colleges,6,1.8,0.7,0.0,6,1.8,0.7,0.0,1,6,1.8,0.7,0.0,36.4,0.0,100.0,36.4
529,youngja05,Jahmir Young,Point Guard,Left,6-2,185,7,October,2000,"UNC,Charlotte",6,1.8,0.5,1.0,6,1.8,0.5,1.0,1,6,1.8,0.5,1.0,80.0,50.0,100.0,90.0
530,milleem01,Emanuel Miller,Power Forward,Right,6-7,215,19,June,2000,"Texas,A&M",6,1.7,1.3,0.3,6,1.7,1.3,0.3,1,6,1.7,1.3,0.3,50.0,0.0,100.0,50.0
531,bridgja01,Jalen Bridges,Small Forward,Right,6-8,225,14,May,2001,"West,Virginia",8,1.1,0.5,0.0,8,1.1,0.5,0.0,1,8,1.1,0.5,0.0,28.6,28.6,75.0,42.9
532,robbili01,Liam Robbins,Center,Right,7-0,250,12,July,1999,"Drake,University",13,0.7,0.9,0.2,13,0.7,0.9,0.2,1,13,0.7,0.9,0.2,25.0,0.0,50.0,25.0
533,tuckepj01,P.J. Tucker,"Small Forward, Power Forward, , Shooting Guard",Right,6-5,245,5,May,1985,Texas,3,3.0,2.7,0.0,3,3.0,2.7,0.0,14,886,6.6,5.4,1.4,42.5,36.6,75.0,51.2
534,johnsja01,James Johnson,"Power Forward, Small Forward, , Center",Right,6-7,240,20,February,1987,"Wake,Forest",12,0.7,0.5,0.3,12,0.7,0.5,0.3,16,786,7.4,3.5,2.0,47.3,30.0,67.8,51.2
535,sanogad01,Adama Sanogo,"Power Forward , Center",Right,6-9,245,12,February,2002,UConn,4,2.0,1.5,0.3,4,2.0,1.5,0.3,2,13,3.4,3.2,0.1,52.9,-,66.7,52.9
536,watsoan02,Anton Watson,Small Forward,Right,6-8,225,6,October,2000,Gonzaga,9,0.9,0.3,0.2,9,0.9,0.3,0.2,1,9,0.9,0.3,0.2,44.4,0.0,-,44.4
537,wheelph02,Phillip Wheeler,Power Forward,Right,6-9,211,23,April,2002,Colleges,5,1.6,1.6,0.4,5,1.6,1.6,0.4,1,5,1.6,1.6,0.4,14.3,0.0,100.0,14.3
538,doziepj01,PJ Dozier,"Shooting Guard, Small Forward, , Point Guard",Right,6-6,205,25,October,1996,"South,Carolina",9,0.8,0.6,0.6,9,0.8,0.6,0.6,7,130,5.4,2.6,1.6,40.3,31.1,64.7,46.6
539,jenkida01,Daniss Jenkins,Point Guard,Right,6-3,165,17,August,2001,"University,of,the,Pacific",7,1.0,0.3,0.4,7,1.0,0.3,0.4,1,7,1.0,0.3,0.4,30.0,14.3,0.0,35.0
540,norrimi01,Miles Norris,Power Forward,Right,6-10,220,15,April,2000,Oregon,3,2.3,3.0,0.0,3,2.3,3.0,0.0,1,3,2.3,3.0,0.0,22.2,28.6,50.0,33.3
541,mcculke01,Kevin McCullar Jr.,Small Forward,Right,6-6,210,15,March,2001,"Texas,Tech",4,1.5,2.0,0.5,4,1.5,2.0,0.5,1,4,1.5,2.0,0.5,28.6,0.0,100.0,28.6
542,mobleis01,Isaiah Mobley,Power Forward,Right,6-8,240,24,September,1999,USC,1,6.0,4.0,5.0,1,6.0,4.0,5.0,3,23,2.6,1.5,0.6,40.7,33.3,71.4,46.6
543,mooreta02,Taze Moore,Shooting Guard,Left,6-5,195,29,June,1998,"Cal,State-Bakersfield",2,3.0,4.0,0.5,2,3.0,4.0,0.5,2,6,4.0,2.7,1.0,34.5,18.2,50.0,37.9
544,wisemja01,James Wiseman,Center,Left,7-0,240,31,March,2001,Memphis,1,6.0,1.0,0.0,1,6.0,1.0,0.0,4,148,9.1,5.6,0.7,56.0,26.2,68.3,56.8
545,chomcul01,Ulrich Chomche,Power Forward,Right,6-10,235,30,December,2005,Colleges,7,0.7,1.1,0.3,7,0.7,1.1,0.3,1,7,0.7,1.1,0.3,40.0,-,50.0,40.0
546,willial06,Alondes Williams,Shooting Guard,Right,6-4,210,19,June,1999,"Triton,College",1,5.0,0.0,1.0,1,5.0,0.0,1.0,3,9,1.1,0.2,0.1,40.0,20.0,100.0,45.0
547,harpero02,Ron Harper Jr.,"Small Forward , Power Forward",Right,6-6,245,12,April,2000,"Rutgers,University",1,4.0,7.0,2.0,1,4.0,7.0,2.0,3,11,2.2,1.3,0.6,37.5,20.0,100.0,43.8
548,ingraha01,Harrison Ingram,Small Forward,Right,6-5,230,27,November,2002,Stanford,5,0.8,1.8,0.6,5,0.8,1.8,0.6,1,5,0.8,1.8,0.6,50.0,0.0,-,50.0
549,cartodj01,D.J. Carton,Shooting Guard,Left,6-2,200,5,August,2000,"Ohio,State",4,0.8,1.0,0.8,4,0.8,1.0,0.8,2,8,1.8,1.0,0.8,26.7,14.3,83.3,30.0
550,cuiyo01,Cui Yongxi,Shooting Guard,Right,6-6,190,28,May,2003,Colleges,5,0.6,0.4,0.0,5,0.6,0.4,0.0,1,5,0.6,0.4,0.0,14.3,0.0,50.0,14.3
551,keybr01,Braxton Key,Small Forward,Right,6-8,230,14,February,1997,Alabama,3,1.0,0.7,0.0,3,1.0,0.7,0.0,4,37,2.9,1.9,0.5,43.6,29.6,62.1,47.9
552,newtotr01,Tristen Newton,Shooting Guard,Right,6-5,190,26,April,2001,"East,Carolina,University",8,0.4,0.5,0.3,8,0.4,0.5,0.3,1,8,0.4,0.5,0.3,12.5,0.0,100.0,12.5
553,olivaqu01,Quincy Olivari,Point Guard,Right,6-3,198,27,May,2001,"Rice,University",2,1.5,0.0,0.5,2,1.5,0.0,0.5,1,2,1.5,0.0,0.5,20.0,20.0,-,30.0
554,colliyu01,Yuri Collins,Point Guard,Right,6-0,190,7,March,2001,"Saint,Louis",2,1.0,1.5,2.0,2,1.0,1.5,2.0,1,2,1.0,1.5,2.0,33.3,-,-,33.3
555,leonsma01,Malevy Leons,Small Forward,Right,6-9,205,23,September,1999,"Mineral,Area,College",6,0.3,0.5,0.2,6,0.3,0.5,0.2,1,6,0.3,0.5,0.2,0.0,0.0,50.0,0.0
556,nixda01,Daishen Nix,"Point Guard , Shooting Guard",Right,6-5,224,13,February,2002,Colleges,3,0.3,1.3,1.0,3,0.3,1.3,1.0,4,99,3.3,1.4,1.8,35.6,28.8,59.5,43.6
557,daviste02,Terence Davis,Shooting Guard,Right,6-4,201,16,May,1997,"Ole,Miss",1,0.0,1.0,1.0,1,0.0,1.0,1.0,5,228,8.0,2.7,1.3,43.3,36.6,82.6,54.2
558,edwarje01,Jesse Edwards,Center,Right,6-11,230,18,March,2000,"West,Virginia",2,0.0,0.0,0.5,2,0.0,0.0,0.5,1,2,0.0,0.0,0.5,-,-,-,-
559,mccluma01,Mac McClung,"Shooting Guard , Point Guard",Right,6-2,185,6,January,1999,Georgetown,2,0.0,0.5,1.5,2,0.0,0.5,1.5,3,6,5.5,2.3,2.2,42.9,33.3,66.7,51.8
560,mcdanja01,Jalen McDaniels,Small Forward,Right,6-9,205,31,January,1998,"San,Diego,State",4,0.0,0.0,0.3,4,0.0,0.0,0.3,6,252,6.7,3.3,1.2,44.9,32.2,77.7,51.1
561,minixri01,Riley Minix,Small Forward,Right,6-7,230,22,September,2000,"Southeastern,University",1,0.0,2.0,0.0,1,0.0,2.0,0.0,1,1,0.0,2.0,0.0,0.0,0.0,-,0.0
562,okafoja01,Jahlil Okafor,Center,Right,6-10,270,15,December,1995,Duke,1,0.0,1.0,1.0,1,0.0,1.0,1.0,7,248,10.3,4.7,0.9,54.2,22.2,67.6,54.3
563,pullizy01,Zyon Pullin,Shooting Guard,Right,6-4,206,3,March,2001,"University,of,California,,Riverside",3,0.0,0.0,0.0,3,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,-,-,0.0
564,steveis01,Isaiah Stevens,Point Guard,Right,6-0,185,1,November,2000,"Colorado,State",3,0.0,0.7,0.0,3,0.0,0.7,0.0,1,3,0.0,0.7,0.0,0.0,0.0,-,0.0
565,taylote01,Terry Taylor,Power Forward,Left,6-5,230,23,September,1999,"Austin,Peay,State,University",3,0.0,0.3,0.7,3,0.0,0.3,0.7,4,98,4.6,2.6,0.6,57.9,28.8,68.7,60.7
