,player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Last Season Games,Last Season Points,Last Season Total Rebound Percentage,Last Season Assists Percentage,Last Season Field Goal Percentage,Last Season 3pt Field Goal Percentage,Last Season TFree Throw Percentage,Last Season Effective Field Goal Percentage,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage
355,pickeja02,Jalen Pickett,Shooting Guard,Right,6-4,209,22,October,1999,"Siena,College",49,4.1,1.4,2.2,49,4.1,1.4,2.2,2,76,3.2,1.1,1.7,42.8,38.9,75.0,54.2
356,joneska01,Kai Jones,Center,Right,6-11,218,19,January,2001,Texas,40,5.0,3.1,0.6,40,5.0,3.1,0.6,3,107,3.5,2.4,0.4,67.1,23.1,68.2,68.3
357,gueyemo02,Mouhamed Gueye,Power Forward,Right,6-11,210,9,November,2002,"Washington,State",33,6.0,4.2,0.8,33,6.0,4.2,0.8,2,39,5.7,4.1,0.8,41.2,26.7,77.1,47.4
358,cainja01,Jamal Cain,"Power Forward , Small Forward",Right,6-7,191,20,March,1999,Marquette,37,5.3,2.3,0.6,37,5.3,2.3,0.6,3,81,4.8,2.1,0.5,45.9,33.6,72.6,53.1
359,gilleco01,Collin Gillespie,Point Guard,Right,6-1,195,25,June,1999,Villanova,33,5.9,2.4,2.4,33,5.9,2.4,2.4,2,57,4.9,1.7,1.8,44.1,42.2,79.4,55.9
360,reathdu01,Duop Reath,Center,Right,6-11,245,26,June,1996,"Lee,College",46,4.2,2.0,0.6,46,4.2,2.0,0.6,2,114,7.1,3.0,0.8,45.1,34.8,77.4,54.3
361,portecr01,Craig Porter Jr.,Point Guard,Right,6-2,186,26,February,2000,"Vincennes,University",51,3.7,1.3,1.4,51,3.7,1.3,1.4,2,102,4.6,1.7,1.9,51.1,40.2,72.7,55.6
362,tateja01,Jae'Sean Tate,"Small Forward , Power Forward",Left,6-4,230,28,October,1995,"Ohio,State",52,3.6,2.3,0.9,52,3.6,2.3,0.9,5,296,8.3,4.1,2.0,49.3,30.9,70.0,53.8
363,nnajize01,Zeke Nnaji,Power Forward,Right,6-9,240,9,January,2001,Arizona,57,3.2,1.6,0.4,57,3.2,1.6,0.4,5,251,4.2,2.3,0.4,50.9,36.2,65.3,57.4
364,reedpa01,Paul Reed,"Center , Power Forward",Right,6-9,210,14,June,1999,DePaul,45,4.1,2.7,1.0,45,4.1,2.7,1.0,5,260,4.9,3.9,0.8,54.8,30.5,70.5,56.4
