,Season,League,Player_id,Age,Team_id,Game,Minutes Played Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Win Shares,Win Shares Per 48 Minutes
36,1988-89,NBA,johnsma02,29,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
37,1987-88,NBA,jordami01,24,CHI,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
38,1986-87,NBA,johnsma02,27,LAL,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263
39,1985-86,NBA,birdla01,29,BOS,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244
40,1984-85,NBA,birdla01,28,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238
41,1983-84,NBA,birdla01,27,BOS,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215
42,1982-83,NBA,malonmo01,27,PHI,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248
43,1981-82,NBA,malonmo01,26,HOU,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218
44,1980-81,NBA,ervinju01,30,PHI,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
45,1979-80,NBA,abdulka01,32,LAL,82,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227
46,1978-79,NBA,malonmo01,23,HOU,82,41.3,24.8,17.6,1.8,1,1.5,0.54,,0.739,14.1,0.2
47,1977-78,NBA,waltobi01,25,POR,58,33.3,18.9,13.2,5,1,2.5,0.522,,0.72,8.4,0.209
48,1976-77,NBA,abdulka01,29,LAL,82,36.8,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,17.8,0.283
49,1975-76,NBA,abdulka01,28,LAL,82,41.2,27.7,16.9,5,1.5,4.1,0.529,,0.703,17,0.242
50,1974-75,NBA,mcadobo01,23,BUF,82,43.2,34.5,14.1,2.2,1.1,2.1,0.512,,0.805,17.8,0.242
51,1973-74,NBA,abdulka01,26,MIL,81,43.8,27,14.5,4.8,1.4,3.5,0.539,,0.702,18.4,0.25
52,1972-73,NBA,cowenda01,24,BOS,82,41.8,20.5,16.2,4.1,,,0.452,,0.779,12,0.168
53,1971-72,NBA,abdulka01,24,MIL,81,44.2,34.8,16.6,4.6,,,0.574,,0.689,25.4,0.34
54,1970-71,NBA,abdulka01,23,MIL,82,40.1,31.7,16,3.3,,,0.577,,0.69,22.3,0.326
55,1969-70,NBA,reedwi01,27,NYK,81,38.1,21.7,13.9,2,,,0.507,,0.756,14.6,0.227
56,1968-69,NBA,unselwe01,22,BAL,82,36.2,13.8,18.2,2.6,,,0.476,,0.605,10.8,0.175
57,1967-68,NBA,chambwi01,31,PHI,82,46.8,24.3,23.8,8.6,,,0.595,,0.38,20.4,0.255
58,1966-67,NBA,chambwi01,30,PHI,81,45.5,24.1,24.2,7.8,,,0.683,,0.441,21.9,0.285
59,1965-66,NBA,chambwi01,29,PHI,79,47.3,33.5,24.6,5.2,,,0.54,,0.513,21.4,0.275
60,1964-65,NBA,russebi01,30,BOS,78,44.4,14.1,24.1,5.3,,,0.438,,0.573,16.9,0.233
61,1963-64,NBA,roberos01,25,CIN,79,45.1,31.4,9.9,11,,,0.483,,0.853,20.6,0.278
62,1962-63,NBA,russebi01,28,BOS,78,44.9,16.8,23.6,4.5,,,0.432,,0.555,13.5,0.185
63,1961-62,NBA,russebi01,27,BOS,76,45.2,18.9,23.6,4.5,,,0.457,,0.595,15.5,0.217
64,1960-61,NBA,russebi01,26,BOS,78,44.3,16.9,23.9,3.4,,,0.426,,0.55,13,0.181
65,1959-60,NBA,chambwi01,23,PHW,72,46.4,37.6,27,2.3,,,0.461,,0.582,17,0.245
66,1958-59,NBA,pettibo01,26,STL,72,39.9,29.2,16.4,3.1,,,0.438,,0.759,14.8,0.246
67,1957-58,NBA,russebi01,23,BOS,69,38.3,16.6,22.7,2.9,,,0.442,,0.519,11.3,0.206
68,1956-57,NBA,cousybo01,28,BOS,64,36.9,20.6,4.8,7.5,,,0.378,,0.821,8.8,0.178
69,1955-56,NBA,pettibo01,23,STL,72,38.8,25.7,16.2,2.6,,,0.429,,0.736,13.8,0.236
