player_id,player_name,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage,Career Player Efficiency Rating,Career Win Shares
ighodos01,Oso Ighodaro,2.0,143,5.5,4.5,1.8,63.7,0.0,49.1,63.7,12.8,6.3
iguodan01,Andre Iguodala,,1231,11.3,4.9,4.2,46.3,33.0,70.9,51.2,15.4,100.4
ilyaser01,Ersan Ä°lyasova,,825,10.1,5.6,1.1,44.3,36.7,77.7,50.6,15.4,48.8
inglejo01,Joe Ingles,12.0,750,7.7,3.0,3.5,44.8,40.9,77.5,58.4,12.4,42.4
ingraan01,Andre Ingram,,6,4.0,1.3,1.2,34.8,41.7,100.0,45.7,10.9,0.1
ingrabr01,Brandon Ingram,10.0,572,19.8,5.2,4.2,46.9,36.6,79.2,51.6,16.1,31.8
ingraha01,Harrison Ingram,2.0,12,1.3,1.0,0.3,70.0,50.0,,75.0,13.0,0.2
irvinky01,Kyrie Irving,14.0,779,23.7,4.1,5.6,47.4,39.4,88.8,54.0,22.2,91.0
isaacjo01,Jonathan Isaac,7.0,328,6.8,4.5,0.7,44.1,31.6,73.2,50.3,15.0,14.9
isselda01,Dan Issel,,1218,22.6,9.1,2.4,49.9,22.0,79.3,50.0,21.5,157.8
iveyja01,Jaden Ivey,4.0,218,14.8,3.5,4.0,43.0,35.5,74.9,49.8,12.7,2.9
iwundwe01,Wes Iwundu,,226,4.4,2.5,0.9,40.8,29.2,79.8,45.2,8.2,4.2
jabalwa01,Warren Jabali,,447,17.1,6.7,5.3,43.1,31.9,75.6,45.7,16.2,35.1
jacksan01,Andre Jackson Jr.,3.0,172,2.7,2.1,1.0,44.0,34.1,59.7,51.4,8.2,1.8
jacksde01,Demetrius Jackson,,26,1.8,0.7,0.7,48.6,28.6,66.7,54.1,13.0,0.2
jacksfr01,Frank Jackson,,214,8.5,1.8,1.0,42.1,33.2,78.6,50.1,10.4,2.5
jacksgg01,GG Jackson II,3.0,132,12.1,4.0,1.3,44.7,34.5,74.4,52.4,13.8,2.6
jacksis01,Isaiah Jackson,5.0,218,7.1,4.5,0.8,60.5,18.9,66.6,60.8,18.9,10.3
jacksja01,Jaren Jackson,,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5
jacksja02,Jaren Jackson Jr.,8.0,455,18.6,5.6,1.5,46.7,35.1,79.3,52.9,17.9,30.2
jacksjo02,Josh Jackson,,291,11.3,4.0,1.8,41.6,29.2,68.0,46.1,11.4,-1.7
jacksju01,Justin Jackson,,280,6.0,2.3,1.0,42.3,31.9,79.6,50.1,10.0,5.3
jackslu01,Luke Jackson,,522,9.9,8.8,1.6,41.5,,72.2,,12.7,22.3
jacksme01,Merv Jackson,,262,11.6,3.3,3.1,41.1,33.6,81.7,42.0,11.8,7.5
jacksph01,Phil Jackson,,807,6.7,4.3,1.1,45.3,0.0,73.6,45.3,12.5,29.3
jacksqu01,Quenton Jackson,4.0,89,7.5,1.9,2.4,46.9,34.1,80.9,52.7,14.3,2.7
jacksre01,Reggie Jackson,,884,12.3,2.8,4.1,42.3,34.5,85.4,48.4,14.5,36.3
jacksst02,Stephen Jackson,,858,15.1,3.9,3.1,41.4,33.3,79.8,47.1,14.3,36.1
jackstr02,Trayce Jackson-Davis,3.0,183,6.2,4.4,1.2,63.1,20.0,55.5,63.1,19.5,9.6
jacobsa01,Sam Jacobson,,68,4.2,1.2,0.5,51.1,36.0,73.9,53.0,11.2,1.1
jakucka01,Kasparas JakuÄionis,1.0,53,6.2,2.6,2.6,42.9,42.3,87.9,56.7,11.9,2.3
jamesbr02,Bronny James,2.0,69,2.7,0.6,1.1,37.4,34.8,81.0,45.9,8.4,0.0
jamesda01,Damion James,,39,3.8,3.4,0.7,41.5,0.0,66.7,41.5,8.5,0.0
jamesju01,Justin James,2.0,72,3.2,0.9,0.6,44.6,34.3,54.4,50.5,11.2,0.3
jamesle01,LeBron James,23.0,1622,26.8,7.5,7.4,50.7,34.8,73.7,54.9,26.7,276.8
jamesmi01,Mike James,,595,9.9,2.2,3.5,41.7,37.9,80.2,48.4,14.0,22.3
jamesmi02,Mike James,,49,8.9,2.5,3.7,38.0,28.7,76.6,42.5,13.4,0.4
jamessi01,Sion James,1.0,82,5.4,3.5,2.0,37.1,35.2,83.7,48.3,8.3,3.1
jaqueja01,Jaime Jaquez Jr.,3.0,216,12.1,4.4,3.3,49.1,31.7,77.9,52.9,14.3,10.5
