player_id,player_name,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage,Career Player Efficiency Rating,Career Win Shares
kuberst01,Steve Kuberski,,568,5.5,3.8,0.6,41.7,,76.7,,11.4,11.4
kukocto01,Toni KukoÄ,,846,11.6,4.2,3.7,44.7,33.5,72.9,49.2,17.3,59.6
kulboar01,Arnoldas Kulboka,,2,0.0,0.0,0.0,0.0,0.0,,0.0,-10.7,0.0
kuminjo01,Jonathan Kuminga,5.0,294,12.5,4.2,1.8,50.2,33.2,69.9,54.5,15.3,13.0
kupchmi01,Mitch Kupchak,,510,10.2,5.4,0.7,52.3,0.0,70.4,52.3,16.2,27.1
kurucro01,Rodions Kurucs,,131,6.0,3.1,0.9,44.4,32.9,73.9,51.7,10.0,2.3
kuzmaky01,Kyle Kuzma,9.0,610,16.6,6.1,2.7,45.3,33.5,72.1,52.0,13.8,16.3
kuzmiog01,Ognjen KuzmiÄ,,37,0.9,1.0,0.2,52.0,,60.0,52.0,7.6,0.2
labissk01,Skal LabissiÃ¨re,6.0,155,7.0,4.3,1.0,49.3,35.2,74.8,51.1,15.0,4.5
lackebo01,Bob Lackey,,71,5.8,2.3,1.9,43.1,40.0,59.3,43.4,7.1,-0.1
ladnewe01,Wendell Ladner,,300,11.6,8.3,2.1,38.6,25.2,71.2,40.0,12.9,3.6
lagarto01,Tom LaGarde,,312,7.6,5.1,1.5,46.2,0.0,64.0,46.2,11.5,6.5
laimbbi01,Bill Laimbeer,,1068,12.9,9.7,2.0,49.8,32.6,83.7,50.7,16.1,105.6
lamban01,Anthony Lamb,,88,6.2,3.3,1.4,44.7,35.3,79.0,55.8,10.3,2.6
lambje01,Jeremy Lamb,,573,10.1,3.6,1.6,43.9,34.2,85.7,50.1,15.6,26.8
lampje01,Jeff Lamp,,291,5.1,1.5,0.9,47.0,22.2,84.1,47.4,11.5,5.2
landajo01,Jock Landale,5.0,289,6.6,3.9,1.1,51.7,33.6,72.1,56.7,16.2,12.0
landsma01,Mark Landsberger,,437,5.6,6.1,0.5,48.1,0.0,52.2,48.1,12.8,12.2
langfro01,Romeo Langford,4.0,141,4.6,2.1,0.7,43.0,28.8,65.9,47.6,8.5,2.0
laniech01,Chaz Lanier,1.0,34,2.4,0.7,0.5,31.5,28.4,83.3,42.1,6.6,0.3
laravja01,Jake LaRavia,4.0,218,7.4,3.6,1.8,44.1,35.1,75.6,52.7,11.7,8.2
larsspe01,Pelle Larsson,2.0,125,8.4,2.7,2.4,48.0,32.8,77.1,54.2,12.2,5.5
larueru01,Rusty LaRue,,98,5.0,1.3,1.6,37.6,31.8,84.1,43.1,8.9,0.5
lavinza01,Zach LaVine,12.0,693,20.7,4.0,3.9,47.0,39.1,83.5,54.5,17.2,38.6
lawsoaj01,A.J. Lawson,4.0,107,4.9,1.9,0.6,43.9,33.9,66.1,52.5,12.5,1.8
lawvi01,Vic Law,,8,1.9,1.4,0.4,33.3,14.3,33.3,36.1,3.7,-0.1
laymaja01,Jake Layman,,243,4.8,1.7,0.5,46.0,30.0,71.9,52.6,11.1,3.8
leaftj01,T.J. Leaf,,146,3.3,1.9,0.3,49.2,34.1,58.5,52.9,13.7,2.7
lecquja01,Jalen Lecque,,9,1.7,0.8,0.4,26.3,0.0,100.0,26.3,3.2,-0.1
leebu01,Butch Lee,,96,8.1,1.4,3.2,45.0,,76.1,45.0,13.5,2.4
leeco01,Courtney Lee,,811,9.6,2.6,1.7,45.1,38.8,85.3,51.8,12.2,39.3
leeda02,David Lee,,829,13.5,8.8,2.2,53.5,3.4,77.2,53.6,19.1,76.0
leeda03,Damion Lee,,315,7.8,3.2,1.3,43.3,37.4,88.1,53.1,11.6,10.6
leesa01,Saben Lee,4.0,134,5.2,1.9,2.8,42.1,27.1,73.4,45.2,13.7,3.5
leiboba01,Barry Leibowitz,,82,10.9,2.1,3.7,36.7,15.4,80.5,37.0,9.5,1.5
lemonwa01,Walt Lemon Jr.,,11,9.4,2.6,3.2,43.7,50.0,71.4,45.1,14.7,0.0
lenal01,Alex Len,12.0,690,6.7,5.3,0.9,51.0,32.2,67.8,52.6,15.0,23.9
leonaka01,Kawhi Leonard,14.0,798,20.7,6.4,3.1,49.9,39.1,86.3,55.6,23.6,111.9
leoname01,Meyers Leonard,,456,5.6,3.9,0.9,48.2,39.0,81.2,56.5,12.0,15.8
leonsma01,Malevy Leons,2.0,31,2.7,1.8,0.8,43.2,23.5,73.9,45.9,11.1,0.5
lestero01,Ronnie Lester,,250,7.3,1.9,4.0,46.9,22.7,78.8,47.0,13.0,6.3
leuerjo01,Jon Leuer,,377,6.4,3.8,0.8,48.4,32.8,76.7,51.5,14.5,13.2
leverca01,Caris LeVert,10.0,584,13.2,3.6,3.9,43.6,34.4,73.3,50.0,14.4,25.4
levincl01,Cliff Levingston,,830,7.1,5.2,0.9,51.6,15.2,67.6,51.6,13.8,44.2
lewisfr02,Freddie Lewis,,750,16.0,3.7,4.0,43.2,28.0,81.7,44.6,15.1,53.8
lewisgr01,Grady Lewis,,139,5.4,,0.9,25.2,,59.5,,,4.3
lewiski01,Kira Lewis Jr.,4.0,131,5.2,1.3,1.8,39.7,29.4,84.8,45.1,10.5,1.3
lewisma05,Maxwell Lewis,,62,2.0,1.0,0.4,38.0,33.9,69.2,45.7,6.6,-0.2
lewisra01,Ralph Lewis,,99,2.3,1.2,0.3,41.4,25.0,56.2,41.6,8.5,0.0
lewisra02,Rashard Lewis,,1049,14.9,5.2,1.7,45.2,38.6,80.5,52.4,16.8,90.9
lewissc01,Scottie Lewis,,2,0.5,0.0,0.5,,,50.0,,14.6,0.0
liddeej01,E.J. Liddell,3.0,46,3.7,1.8,0.6,47.7,31.3,83.3,55.7,12.0,0.6
lillada01,Damian Lillard,13.0,900,25.1,4.3,6.7,43.9,37.1,89.9,52.3,22.2,118.4
linje01,Jeremy Lin,,480,11.6,2.8,4.3,43.3,34.2,80.9,48.5,15.3,23.5
littlge01,Gene Littles,,450,9.0,3.3,3.0,47.6,24.0,73.8,48.0,13.4,23.4
littlna01,Nassir Little,5.0,237,5.5,2.9,0.7,45.2,33.0,73.5,53.3,11.3,4.7
livelde01,Dereck Lively II,3.0,98,8.4,7.0,1.6,72.5,0.0,57.9,72.5,18.7,8.7
liveris01,Isaiah Livers,4.0,130,5.0,2.4,0.8,40.0,35.2,78.3,52.1,8.1,2.0
livinch01,Chris Livingston,3.0,45,1.4,1.3,0.2,42.9,6.3,76.2,43.8,9.0,0.2
livinsh01,Shaun Livingston,,833,6.3,2.4,3.0,48.6,17.8,79.4,48.8,12.5,29.9
lloydea01,Earl Lloyd,,560,8.4,6.4,1.4,35.6,,75.0,,10.7,19.1
loftoke01,Kenneth Lofton Jr.,,45,4.8,2.0,1.2,49.7,31.7,62.3,53.5,17.3,0.8
loftoza01,Zach Lofton,,1,0.0,0.0,0.0,0.0,0.0,,0.0,-10.0,0.0
loganhe01,Henry Logan,,108,11.6,3.5,2.3,46.6,14.3,70.5,46.7,13.7,5.6
longjo01,John Long,,893,13.6,2.8,1.9,46.7,32.2,86.2,47.2,14.2,32.0
longllu01,Luc Longley,,567,7.2,4.9,1.5,46.2,0.0,76.0,46.2,11.8,17.5
looneke01,Kevon Looney,11.0,620,4.9,5.7,1.6,57.0,17.9,61.0,57.4,15.6,38.1
lopezbr01,Brook Lopez,18.0,1180,15.4,5.9,1.5,49.4,35.3,79.7,53.7,18.2,94.2
lopezro01,Robin Lopez,,992,8.4,4.7,0.8,53.7,29.7,74.3,54.1,15.8,49.6
loscuji01,Jim Loscutoff,,511,6.2,5.6,0.7,34.5,,65.3,,8.3,3.4
louzama01,Didi Louzada,,12,3.6,1.7,0.7,32.6,35.5,100.0,44.6,4.2,-0.1
loveca01,Caleb Love,1.0,49,10.4,2.3,2.5,38.8,31.8,73.5,48.3,10.7,0.6
loveke01,Kevin Love,18.0,989,15.8,9.8,2.3,43.7,36.9,82.8,51.1,20.6,96.0
lovelcl01,Clyde Lovellette,,704,17.0,9.5,1.6,44.3,,75.7,,21.7,70.6
loverla01,Lawson Lovering,1.0,2,7.0,7.5,1.5,60.0,,40.0,60.0,13.7,0.1
lowryky01,Kyle Lowry,20.0,1187,13.8,4.2,6.0,42.3,36.7,81.5,51.2,17.3,112.4
loydjo01,Jordan Loyd,,12,2.4,0.8,0.5,44.4,50.0,81.8,55.6,16.3,0.2
lucasje01,Jerry Lucas,,829,17.0,15.6,3.3,49.9,,78.3,,18.9,98.4
lucaska01,Kalin Lucas,,2,1.0,1.5,0.5,0.0,0.0,100.0,0.0,8.0,0.0
lucasma01,Maurice Lucas,,1021,14.6,9.1,2.4,47.1,14.3,76.5,47.2,16.2,69.0
luety01,Tyronn Lue,,554,8.5,1.7,3.1,43.7,39.1,82.9,49.4,13.2,19.7
lundbga01,Gabriel Lundberg,,4,3.3,1.8,2.8,26.3,37.5,,34.2,7.7,0.0
lundyse01,Seth Lundy,,9,1.6,0.8,0.0,23.5,23.1,75.0,32.4,0.0,-0.1
luwawti01,TimothÃ© Luwawu-Cabarrot,,328,5.9,2.0,0.9,39.1,33.5,82.9,48.8,8.6,4.7
lydonty01,Tyler Lydon,,26,0.9,0.7,0.2,50.0,40.0,33.3,61.1,9.1,0.2
lylestr01,Trey Lyles,10.0,650,7.6,4.3,1.1,44.1,34.7,74.1,52.1,13.4,22.0
macaued01,Ed Macauley,,641,17.5,7.5,3.2,43.6,,76.1,,20.5,100.4
machasc01,Scott Machado,,10,1.8,0.1,0.9,58.3,50.0,100.0,62.5,13.7,0.0
mackol01,Ollie Mack,,128,7.2,2.5,1.8,45.8,0.0,67.4,45.8,12.0,2.5
macksh01,Shelvin Mack,,456,6.6,2.0,3.1,42.3,33.0,73.1,47.8,12.3,10.3
maconda01,Daryl Macon,,12,2.7,1.0,0.7,36.7,46.2,57.1,46.7,4.3,-0.1
macurjp01,J.P. Macura,,3,2.0,1.0,0.7,33.3,0.0,,33.3,5.4,0.0
madsema01,Mark Madsen,,453,2.2,2.6,0.4,45.7,6.3,52.7,45.7,8.1,8.2
magetjo01,Josh Magette,,26,2.2,1.0,2.4,32.8,34.6,90.0,40.2,10.9,0.3
magnawi01,Will Magnay,,1,0.0,0.0,0.0,0.0,0.0,,0.0,-35.1,0.0
mahinia01,Ian Mahinmi,,618,5.2,4.4,0.6,53.3,16.0,61.2,53.5,13.0,26.1
mahorri01,Rick Mahorn,,1117,6.9,6.2,1.0,49.3,13.2,70.4,49.3,11.6,51.7
makerth01,Thon Maker,,263,4.6,2.8,0.6,43.5,32.7,68.0,50.2,12.0,6.6
maledth01,ThÃ©o Maledon,,177,7.8,2.8,2.9,37.2,31.0,79.3,44.5,9.2,-0.2
malonmo01,Moses Malone,,1455,20.3,12.3,1.3,49.5,9.6,76.0,49.5,22.0,179.1
maluakh01,Khaman Maluach,1.0,46,3.0,2.9,0.1,53.3,23.8,71.0,55.7,14.0,0.8
mamuksa01,Sandro Mamukelashvili,5.0,271,7.0,3.7,1.2,49.4,36.6,73.9,58.1,17.0,11.4
maneka01,Karim ManÃ©,,10,1.1,1.4,0.4,23.1,50.0,80.0,26.9,1.3,-0.1
mannini01,Nico Mannion,1.0,30,4.1,1.5,2.3,34.2,36.7,82.1,43.9,9.3,0.2
mannipa01,Pace Mannion,,216,3.1,1.2,1.1,41.3,20.3,66.3,42.5,9.4,1.7
mannte01,Terance Mann,7.0,475,8.0,3.5,2.1,49.6,37.1,78.2,56.2,12.5,23.3
manntr01,Tre Mann,5.0,234,8.5,2.6,2.1,40.2,34.5,79.5,48.3,10.9,1.9
manonch01,Chris MaÃ±on,1.0,9,0.8,1.1,0.3,33.3,0.0,75.0,33.3,11.7,0.1
mariosh01,Shawn Marion,,1163,15.2,8.7,1.9,48.4,33.1,81.0,51.0,18.8,124.9
marjabo01,Boban MarjanoviÄ,,331,5.5,3.6,0.5,57.8,23.8,76.2,58.2,25.3,13.3
markkla01,Lauri Markkanen,9.0,492,18.9,7.1,1.5,45.8,37.0,87.1,54.7,17.7,36.7
marksse01,Sean Marks,,230,2.8,2.2,0.2,44.8,20.0,66.5,45.2,9.1,2.6
marshna01,Naji Marshall,6.0,373,10.1,4.0,2.5,47.1,30.0,77.7,52.1,13.5,14.6
martial01,Alijah Martin,1.0,23,2.2,0.9,0.5,32.0,19.0,78.9,36.0,9.2,0.0
martica02,Caleb Martin,7.0,369,7.7,3.7,1.6,44.7,35.7,71.9,51.9,11.2,12.7
martico01,Cody Martin,7.0,263,6.1,3.7,2.2,43.4,30.5,65.8,49.4,11.1,7.1
martija01,Jarell Martin,,184,5.4,3.5,0.6,43.4,34.6,76.6,47.0,10.5,3.2
martija02,Jaylen Martin,1.0,16,4.9,2.8,1.1,41.9,30.4,90.0,46.6,9.1,0.0
martije02,Jeremiah Martin,,18,4.8,0.9,1.2,38.4,26.7,63.2,43.0,13.0,0.0
martike03,Kelan Martin,,96,5.5,2.4,0.6,41.4,30.7,88.9,48.7,10.4,0.7
martike04,KJ Martin,5.0,309,8.6,4.0,1.2,54.5,32.9,67.3,59.3,13.7,12.4
martisl01,Slater Martin,,745,9.8,3.4,4.2,36.4,,76.2,,11.6,47.5
martity01,Tyrese Martin,3.0,122,6.8,2.8,1.7,40.1,33.7,76.1,50.1,10.6,1.0
mashaja01,Jahmai Mashack,1.0,31,6.2,2.6,2.2,39.5,25.3,54.3,44.4,7.0,-0.5
masonfr01,Frank Mason III,,103,6.7,2.0,2.6,39.6,30.1,75.5,43.8,12.8,1.2
masseto01,Tony Massenburg,,683,6.2,4.3,0.4,47.0,9.1,70.5,47.0,11.9,15.6
matenya01,Yante Maten,,2,1.0,1.5,0.0,25.0,0.0,,25.0,5.7,0.0
mathega01,Garrison Mathews,7.0,329,6.4,1.7,0.7,40.5,38.2,83.8,56.8,10.4,10.2
mathida01,Dakota Mathias,,14,3.9,0.6,1.0,38.9,31.3,33.3,48.1,9.9,0.2
mathube01,Bennedict Mathurin,4.0,263,16.2,4.7,1.9,44.2,33.6,83.8,49.9,13.6,8.3
matkoka01,Karlo MatkoviÄ,2.0,104,6.5,4.2,0.9,58.9,37.8,75.3,65.2,16.1,4.3
matthwe01,Wes Matthews,,465,7.9,1.3,4.2,47.8,22.5,78.8,48.4,13.0,11.0
matthwe02,Wesley Matthews,,986,11.4,2.8,1.9,41.9,37.5,82.3,52.0,12.3,55.5
maxeyty01,Tyrese Maxey,6.0,388,21.1,3.2,4.8,46.1,37.7,87.3,53.4,18.6,35.1
maxwece01,Cedric Maxwell,,835,12.5,6.3,2.2,54.6,5.3,78.4,54.6,16.4,78.5
maxweve01,Vernon Maxwell,,855,12.8,2.6,3.4,39.8,32.0,73.3,46.2,12.7,27.4
maydo01,Don May,,379,8.8,3.5,1.0,45.3,,79.8,,14.4,11.4
mayescl01,Clyde Mayes,,74,4.0,3.8,0.5,44.6,,56.7,,10.8,0.9
mayssk01,Skylar Mays,4.0,105,4.3,1.2,1.7,44.5,34.5,85.9,50.9,14.4,2.1
mbahalu01,Luc Mbah a Moute,,689,6.4,4.1,0.9,45.4,33.4,65.9,48.2,10.7,26.0
mbengbe01,Bez Mbeng,1.0,15,8.1,3.8,4.1,50.0,19.4,64.0,53.0,10.5,0.5
mbengdj01,D.J. Mbenga,,234,1.8,1.5,0.2,47.0,0.0,60.7,47.0,10.8,2.4
mcadobo01,Bob McAdoo,,852,22.1,9.4,2.3,50.3,8.1,75.4,50.3,20.7,89.1
mcadoja01,James Michael McAdoo,,111,3.0,1.7,0.3,52.8,29.4,53.4,53.8,14.6,2.4
mcbrimi01,Miles McBride,5.0,277,7.1,1.6,1.9,40.9,37.4,78.1,52.3,11.7,10.5
mccaija01,Jared McCain,2.0,90,10.1,2.1,1.7,43.8,38.5,87.0,53.7,12.8,2.2
mccalta01,Tahjere McCall,,1,4.0,1.0,0.0,66.7,0.0,0.0,66.7,9.6,0.0
mccarjo01,Johnny McCarthy,,316,7.8,3.6,3.7,35.3,,62.2,,8.8,4.7
mccawpa01,Patrick McCaw,,199,3.8,1.6,1.4,42.0,30.5,78.5,48.6,7.8,4.4
mcclate01,Ted McClain,,555,8.4,2.9,3.4,44.9,21.8,76.7,45.3,12.5,21.2
mccluma01,Mac McClung,4.0,17,5.9,1.4,1.4,40.2,26.7,75.0,47.1,11.0,0.1
mccolcj01,CJ McCollum,13.0,863,19.5,3.6,3.8,45.3,39.5,79.6,53.0,17.2,54.9
mccontj01,T.J. McConnell,11.0,762,7.8,2.9,5.0,51.8,34.3,78.2,53.6,16.0,34.7
mccoyje01,Jelani McCoy,,260,4.6,3.5,0.5,53.9,,49.0,53.9,12.6,5.1
mccraro01,Rodney McCray,,768,11.7,6.6,3.6,50.3,26.0,76.1,50.7,14.4,56.0
mcculke01,Kevin McCullar Jr.,2.0,25,2.2,1.4,0.9,40.7,32.0,57.1,48.1,9.4,0.2
mcdanja01,Jalen McDaniels,6.0,252,6.7,3.3,1.2,44.9,32.2,77.7,51.1,11.0,5.3
mcdanja02,Jaden McDaniels,6.0,439,11.1,4.2,1.7,48.9,35.9,77.4,55.9,11.6,23.1
mcderdo01,Doug McDermott,12.0,726,8.5,2.1,0.9,46.8,41.0,80.6,57.3,11.5,21.7
mcderse01,Sean McDermott,1.0,18,2.2,1.1,0.2,39.4,22.7,100.0,47.0,7.2,0.2
mcdongl01,Glenn McDonald,,146,4.2,1.5,0.7,40.0,,73.2,,10.3,1.1
mcdonro01,Rod McDonald,,87,3.2,2.3,0.5,44.8,37.5,70.4,45.4,15.1,1.1
mcgeeja01,JaVale McGee,,909,7.6,5.0,0.4,57.8,19.2,60.4,58.0,19.6,43.7
mcgeemi01,Mike McGee,,520,9.6,2.1,1.2,48.7,35.4,59.7,52.3,14.0,15.1
mcginge01,George McGinnis,,842,20.2,11.0,3.7,45.8,27.3,66.4,46.1,20.0,74.6
mcglojo01,Jon McGlocklin,,792,11.6,2.4,2.9,48.9,,84.5,,13.6,47.1
mcgowbr01,Bryce McGowens,4.0,160,5.6,1.8,1.1,43.8,35.1,77.1,51.0,9.4,2.3
mcgrica01,Cameron McGriff,,3,4.7,5.0,1.0,35.7,33.3,100.0,42.9,12.5,0.1
mcgruro01,Rodney McGruder,,317,5.8,2.8,1.2,42.0,36.0,67.2,51.3,9.6,9.0
mchalke01,Kevin McHale,,971,17.9,7.3,1.7,55.4,26.1,79.8,55.5,20.0,113.0
mckeeje01,Jerry McKee,,1,0.0,0.0,0.0,0.0,,,0.0,-29.8,0.0
mckenke01,Kevin McKenna,,243,5.4,1.3,1.4,41.4,36.7,81.9,45.6,10.5,4.0
mckinal01,Alfonzo McKinnie,,182,4.0,2.5,0.3,46.7,32.6,58.3,53.5,10.4,3.1
mclauja01,JaQuori McLaughlin,1.0,4,0.0,0.0,0.5,0.0,0.0,,0.0,-2.9,0.0
mclaujo01,Jordan McLaughlin,7.0,332,3.8,1.3,2.5,44.3,37.7,74.7,53.3,13.4,10.2
mclembe01,Ben McLemore,,556,9.0,2.3,1.0,41.4,36.3,78.0,51.6,9.8,9.0
mclemmc01,McCoy McLemore,,580,8.8,5.5,1.3,39.4,,77.1,,12.2,9.5
mcmahja01,Jack McMahon,,524,8.1,2.7,3.7,33.7,,63.7,,9.6,6.2
mcmilji01,Jim McMillian,,631,13.8,5.3,2.5,48.2,,83.2,,13.9,46.0
mcnabch01,Chet McNabb,,2,0.0,,0.0,0.0,,,,,0.0
mcnamjo01,Joe McNamee,,118,2.4,2.0,0.5,29.8,,62.0,,6.1,-1.3
mcnamma01,Mark McNamara,,278,3.5,3.0,0.3,51.2,,54.8,51.2,10.8,2.8
mcneeli01,Liam McNeeley,1.0,31,4.3,2.4,0.8,40.0,40.0,82.1,52.6,10.6,0.9
mcraejo01,Jordan McRae,,123,6.9,1.8,1.4,41.7,35.5,77.2,47.4,13.2,1.7
mcveija01,Jack McVeigh,,9,1.6,0.6,0.1,29.4,30.8,,41.2,4.0,0.0
medvest01,Stanislav Medvedenko,,263,5.3,2.8,0.5,45.0,15.4,74.0,45.1,13.3,6.0
meeksjo01,Jodie Meeks,,539,9.3,2.1,1.1,42.0,37.3,87.9,51.7,12.8,24.3
meinhca01,Carl Meinhold,,98,5.3,,0.6,31.6,,62.8,,,1.7
mejrisa01,Salah Mejri,,204,3.4,4.0,0.5,60.3,29.3,59.0,61.6,16.3,8.1
melchbi01,Bill Melchionni,,646,10.6,2.0,5.0,45.9,23.6,80.9,46.2,13.7,28.8
mellini01,NicolÃ² Melli,,105,5.0,2.9,1.2,39.2,31.6,74.5,49.1,10.1,2.3
meltode01,De'Anthony Melton,8.0,405,9.5,3.6,2.7,41.0,35.8,78.9,50.1,13.4,15.0
meminde01,Dean Meminger,,416,6.1,2.6,2.5,47.5,,62.7,,12.1,16.6
mensana01,Nathan Mensah,,25,1.3,2.6,0.4,42.9,,75.0,42.9,5.0,0.1
merrisa01,Sam Merrill,6.0,225,8.0,2.0,1.6,42.4,39.7,89.0,59.0,12.5,10.5
metuch01,Chimezie Metu,6.0,260,5.9,3.5,0.8,49.5,29.8,78.7,53.9,14.2,5.7
meyerbi01,Bill Meyer,,7,3.1,0.7,0.1,45.5,,100.0,45.5,11.7,0.1
micicva01,Vasilije MiciÄ,,101,6.8,1.8,3.9,39.5,31.5,81.9,46.3,9.0,-0.6
middlkh01,Khris Middleton,14.0,839,16.1,4.7,3.9,45.8,38.5,87.8,52.7,16.4,58.2
mihmch01,Chris Mihm,,436,7.5,5.3,0.5,45.9,23.1,70.4,45.9,13.4,13.3
mikaer01,Eric Mika,,1,6.0,7.0,0.0,66.7,,100.0,66.7,13.9,0.1
mikaned01,Ed Mikan,,323,6.7,5.5,0.9,32.0,,75.6,,10.7,6.0
mikange01,George Mikan,,439,23.1,13.4,2.8,40.4,,78.2,,27.1,108.7
mikkeve01,Vern Mikkelsen,,699,14.4,9.4,2.2,40.3,,76.6,,18.7,83.4
milescj01,C.J. Miles,,849,9.6,2.4,1.1,41.1,35.8,80.9,50.0,13.1,30.1
milicda01,Darko MiliÄiÄ,,468,6.0,4.2,0.9,46.0,0.0,57.4,46.0,12.3,7.1
millebr02,Brandon Miller,3.0,166,19.0,4.6,3.0,43.1,37.3,86.3,52.5,14.6,5.7
milleda01,Darius Miller,,271,5.9,1.6,1.4,41.9,38.3,84.0,55.2,8.7,6.5
milleem01,Emanuel Miller,2.0,11,2.3,1.0,0.5,47.6,28.6,75.0,52.4,16.4,0.2
milleja01,Jay Miller,,117,5.5,1.8,0.4,41.5,0.0,71.7,41.5,11.9,1.4
millejo02,Jordan Miller,3.0,105,7.3,2.3,1.6,50.7,31.3,78.3,55.1,14.6,4.0
millele01,Leonard Miller,3.0,76,5.4,2.8,0.6,55.2,31.2,76.2,60.9,16.8,2.0
millema01,Malcolm Miller,,53,2.0,0.7,0.3,43.4,40.6,62.5,59.0,8.8,0.7
millemi01,Mike Miller,,1032,10.6,4.2,2.6,45.9,40.7,76.9,55.0,14.3,60.7
millspa01,Paul Millsap,,1085,13.4,7.1,2.2,48.9,34.1,73.6,51.3,18.7,95.4
millspa02,Patty Mills,,921,8.7,1.6,2.2,42.3,38.5,85.7,53.8,13.3,35.9
miltosh01,Shake Milton,7.0,359,8.1,2.2,2.4,45.1,35.8,82.4,51.3,12.6,11.7
minayju01,Justin Minaya,3.0,57,1.7,1.4,0.6,31.4,23.9,41.7,38.6,5.4,-0.1
minixri01,Riley Minix,2.0,10,3.5,0.8,0.5,58.3,30.8,100.0,66.7,16.8,0.2
minotjo01,Josh Minott,4.0,142,4.1,1.7,0.5,49.5,39.6,83.3,59.7,16.4,4.0
mirotni01,Nikola MirotiÄ,,319,12.3,5.9,1.3,42.3,35.9,80.8,52.2,16.7,20.8
missiyv01,Yves Missi,2.0,139,7.5,7.1,1.3,54.6,0.0,60.1,54.6,15.3,6.3
mitchaj01,Ajay Mitchell,2.0,93,10.8,2.8,2.9,48.7,35.6,86.3,54.1,15.4,6.3
mitchda01,Davion Mitchell,5.0,371,7.9,1.9,3.9,45.2,35.5,68.7,52.9,10.5,10.3
mitchdo01,Donovan Mitchell,9.0,609,25.1,4.3,4.8,45.3,36.6,84.4,53.0,20.3,60.2
mitrona01,Naz Mitrou-Long,,20,1.7,0.7,1.2,34.2,20.8,100.0,40.8,5.2,0.0
mobleev01,Evan Mobley,5.0,334,16.7,9.0,3.0,54.7,30.9,67.4,57.4,19.1,34.8
mobleis01,Isaiah Mobley,,23,2.6,1.5,0.6,40.7,33.3,71.4,46.6,11.9,0.3
moedo01,Doug Moe,,378,16.3,6.8,3.2,42.8,21.3,80.0,43.0,16.2,25.5
mogbojo01,Jonathan Mogbo,2.0,103,4.4,3.7,1.7,45.5,23.9,71.9,47.6,12.1,2.5
mohamna01,Nazr Mohammed,,1005,5.8,4.7,0.4,48.6,0.0,64.0,48.6,15.0,34.3
mokokad01,Adam Mokoka,,25,1.9,0.6,0.4,40.4,28.0,40.0,47.9,6.2,0.0
monekch01,Chima Moneke,,2,1.0,1.0,0.5,50.0,,0.0,50.0,-3.5,0.0
monkma01,Malik Monk,9.0,585,12.3,2.6,3.1,43.4,35.5,85.1,52.3,14.2,16.1
monroea01,Earl Monroe,,926,18.8,3.0,3.9,46.4,,80.7,46.4,17.2,77.4
monrogr01,Greg Monroe,,646,13.0,8.2,2.1,51.4,5.9,70.3,51.4,20.1,50.4
moodymo01,Moses Moody,5.0,315,8.0,2.4,1.0,44.7,37.8,77.3,55.9,12.4,11.6
moonema01,Matt Mooney,,5,0.4,0.6,0.2,20.0,0.0,,20.0,5.4,0.0
moonxa01,Xavier Moon,,28,3.5,1.3,1.8,40.6,23.5,57.1,44.3,12.1,0.3
mooreet01,E'Twaun Moore,,598,7.9,2.0,1.8,45.5,38.8,74.2,52.1,11.4,14.8
mooreja01,Jackie Moore,,133,2.7,2.5,0.5,39.1,,63.2,,10.6,1.6
mooreta02,Taze Moore,,6,4.0,2.7,1.0,34.5,18.2,50.0,37.9,10.2,-0.1
moorewe01,Wendell Moore Jr.,4.0,96,2.3,1.4,0.7,46.4,24.6,82.8,50.5,10.3,1.0
moralal01,Alex Morales,1.0,4,2.0,0.8,1.0,42.9,0.0,100.0,42.9,0.9,-0.1
moranja01,Ja Morant,7.0,327,22.4,4.6,7.4,46.6,31.1,77.3,50.4,20.0,24.3
moreler01,Eric Moreland,,83,1.9,3.7,1.0,53.7,100.0,39.4,54.0,13.3,2.3
morgaju01,Juwan Morgan,,52,1.5,1.2,0.3,52.5,34.8,54.5,59.3,9.2,0.7
morriad01,Adam Morrison,,161,7.5,2.1,1.4,37.3,33.1,71.0,42.3,7.4,-1.4
morrija01,Jaylen Morris,,13,3.1,1.8,1.0,35.4,20.0,50.0,38.5,5.6,-0.2
morrima02,Markieff Morris,,791,10.2,4.9,1.5,44.3,34.1,77.9,49.0,13.4,27.3
morrima03,Marcus Morris,,832,12.0,4.4,1.5,43.5,37.7,77.4,51.2,13.1,39.4
morrimo01,Monte Morris,9.0,426,9.4,2.3,3.6,47.3,38.8,82.4,54.4,14.8,24.7
morrire01,Red Morrison,,155,3.6,5.3,0.9,39.6,,57.2,,10.8,2.2
motiedo01,Donatas MotiejÅ«nas,,251,7.3,3.8,1.1,46.9,30.0,59.7,50.8,12.4,7.1
motlejo01,Johnathan Motley,,46,4.9,2.4,0.6,55.2,20.0,58.7,55.8,19.1,0.9
mountri01,Rick Mount,,283,11.8,1.7,2.4,43.3,31.7,82.0,45.3,13.8,10.5
mournal01,Alonzo Mourning,,838,17.1,8.5,1.1,52.7,24.7,69.2,52.9,21.2,89.7
