Rk,Season,TeamName,TeamId,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16,1998-99,New Jersey Nets,NJN,50,12050,1691,4160,.406,225,679,.331,1466,3481,.421,962,1251,.769,715,1437,2152,923,491,273,750,1134,4569
17,1998-99,Washington Wizards,WAS,50,12050,1768,3969,.445,179,580,.309,1589,3389,.469,845,1198,.705,595,1403,1998,1064,393,193,736,1151,4560
18,1998-99,Toronto Raptors,TOR,50,12075,1660,3940,.421,226,662,.341,1434,3278,.437,1011,1330,.760,712,1447,2159,1036,439,321,799,1139,4557
19,1998-99,Los Angeles Clippers,LAC,50,12125,1711,4007,.427,214,668,.320,1497,3339,.448,883,1225,.721,665,1293,1958,820,424,236,796,1223,4519
20,1998-99,Detroit Pistons,DET,50,12050,1660,3716,.447,248,679,.365,1412,3037,.465,950,1283,.740,605,1412,2017,1009,444,208,790,1139,4518
21,1998-99,Philadelphia 76ers,PHI,50,12150,1656,3883,.426,98,371,.264,1558,3512,.444,1073,1486,.722,729,1428,2157,934,542,271,822,1152,4483
22,1998-99,Orlando Magic,ORL,50,12050,1687,3943,.428,223,675,.330,1464,3268,.448,876,1252,.700,688,1445,2133,1067,496,213,819,935,4473
23,1998-99,Miami Heat,MIA,50,12025,1616,3565,.453,289,804,.359,1327,2761,.481,928,1262,.735,503,1512,2015,1019,327,304,744,1035,4449
24,1998-99,Vancouver Grizzlies,VAN,50,12175,1643,3838,.428,148,453,.327,1495,3385,.442,1009,1408,.717,650,1359,2009,964,420,199,848,1123,4443
25,1998-99,Golden State Warriors,GSW,50,12125,1730,4173,.415,162,565,.287,1568,3608,.435,794,1175,.676,816,1559,2375,1037,414,221,768,1270,4416
26,1998-99,Cleveland Cavaliers,CLE,50,12050,1562,3561,.439,182,534,.341,1380,3027,.456,1016,1356,.749,472,1316,1788,1093,452,203,785,1208,4322
27,1998-99,New York Knicks,NYK,50,12100,1610,3704,.435,208,589,.353,1402,3115,.450,892,1218,.732,551,1510,2061,963,395,262,804,1140,4320
28,1998-99,Atlanta Hawks,ATL,50,12075,1539,3760,.409,197,644,.306,1342,3116,.431,1040,1422,.731,676,1499,2175,782,346,260,745,987,4315
29,1998-99,Chicago Bulls,CHI,50,12075,1539,3837,.401,177,612,.289,1362,3225,.422,840,1185,.709,573,1394,1967,1017,436,169,774,1112,4095
,1998-99,League Average,,50,12091,1709,3910,.437,223,658,.339,1486,3252,.457,939,1290,.728,629,1453,2083,1036,418,248,766,1111,4579
1,1997-98,Los Angeles Lakers,LAL,82,19830,3146,6536,.481,497,1415,.351,2649,5121,.517,1863,2743,.679,1079,2471,3550,2009,734,556,1256,1859,8652
2,1997-98,Minnesota Timberwolves,MIN,82,19930,3157,6844,.461,303,873,.347,2854,5971,.478,1673,2253,.743,1063,2429,3492,2068,639,427,1138,1882,8290
3,1997-98,Utah Jazz,UTA,82,19780,2993,6113,.490,249,670,.372,2744,5443,.504,2044,2644,.773,962,2405,3367,2070,648,412,1259,1961,8279
4,1997-98,Seattle SuperSonics,SEA,82,19755,3052,6458,.473,621,1569,.396,2431,4889,.497,1521,2109,.721,931,2225,3156,1986,804,376,1145,1812,8246
5,1997-98,New Jersey Nets,NJN,82,19880,3055,6928,.441,310,937,.331,2745,5991,.458,1750,2351,.744,1344,2137,3481,1685,777,314,1180,1917,8170
